



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
13473;"Aparcamiento público. Descalzas";"";"";"";"";"Plazas:  400   Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad:  Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=98e77339ae51c010VgnVCM2000000c205a0aRCRD";"DESCALZAS";"PLAZA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28013";"SOL";"CENTRO";"440189";"4474611";"40.41809765692244";"-3.706306013191402";"91 532 57 57";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
24809;"Aparcamiento público. Fernández Shaw";"";"";"";"";"Plazas : 245  Abierto 24 horas   Titularidad : Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0e6e6545f951c010VgnVCM2000000c205a0aRCRD";"CARLOS Y GUILLERMO FERNANDEZ SHAW";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28007";"ADELFAS";"RETIRO";"443319";"4473244";"40.406002468696784";"-3.669292239090564";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13478;"Aparcamiento público. Glorieta Puerta de Toledo";"";"";"";"";"Plazas:  244  Abierto 24 horas   Titularidad:  Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5f477339ae51c010VgnVCM2000000c205a0aRCRD";"CAPITAN SALAZAR MARTINEZ";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28005";"EMBAJADORES";"CENTRO";"439865";"4473432";"40.40745328367243";"-3.7100131737859567";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13467;"Aparcamiento público. Las Cortes";"";"";"";"";"Plazas : 480  Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad : Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=42c77339ae51c010VgnVCM2000000c205a0aRCRD";"LAS CORTES";"PLAZA";"NUM";"0";"";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"";"441115";"4474345";"40.41576756093728";"-3.695367083138702";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13449;"Aparcamiento público. Luna - Tudescos";"";"";"";"";"Plazas : 481  Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad : Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=54467339ae51c010VgnVCM2000000c205a0aRCRD";"SANTA MARIA SOLEDAD TORRES ACOSTA";"PLAZA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28004";"UNIVERSIDAD";"CENTRO";"440255";"4474983";"40.4214535549175";"-3.705563118253955";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13469;"Aparcamiento público. Marqués de Urquijo";"";"";"";"";"Plazas : 482  Abierto 24 horas  Admite Tarjeta BonoRed";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aa667339ae51c010VgnVCM2000000c205a0aRCRD";"MARQUES DE URQUIJO";"CALLE";"V";"27";"";"";"";"";"MADRID";"MADRID";"28008";"ARGUELLES";"MONCLOA-ARAVACA";"439113";"4475892";"40.42955928333471";"-3.719111078507027";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13465;"Aparcamiento público. Montalbán";"";"";"";"";"Plazas:  275  Abierto 24 horas  Admite Tarjet BonoRed   Titularidad:  Ayuntamiento de Madrid   Gestión:  Empresa Municipal de Transportes (EMT) ( más información )";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0967339ae51c010VgnVCM2000000c205a0aRCRD";"MONTALBAN";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28014";"LOS JERONIMOS";"RETIRO";"441477";"4474593";"40.41802725000116";"-3.691123387515545";"";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
13451;"Aparcamiento público. Mostenses";"";"";"";"";"Plazas:  362   Información sobre accesibilidad:    No tiene escaleras adaptadas  1 ascensor  1 aseo accesible en  2&ordf;   planta  Plaza para minusválidos residentes: 16    Abierto 24 horas    Admite Tarjeta BonoRed     Titularidad:  Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe0881eb5f51c010VgnVCM2000000c205a0aRCRD";"GARCIA MOLINAS";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28015";"UNIVERSIDAD";"CENTRO";"439979";"4475132";"40.4227759148193";"-3.708830424647755";"902 283 080";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
88141;"Aparcamiento público. Museo de la Ciudad";"";"";"";"";"Plazas:  147  Abierto 24 horas   Titularidad:  Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bdc7bdc85c01c010VgnVCM2000000c205a0aRCRD";"PRINCIPE DE VERGARA";"CALLE";"V";"134";"";"";"";"";"MADRID";"MADRID";"28002";"CIUDAD JARDIN";"CHAMARTIN";"442593";"4477430";"40.44366224087455";"-3.6782263814004565";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13450;"Aparcamiento público. Olavide";"No accesible desde sótano -1 Zona A";"";"";"";"Plazas : 397    Información sobre accesibilidad:    Disponde de escaleras adaptadas  1 ascensor en la salida a la Plaza de Olavide  1 aseo accesible en la  1&ordf;   planta  Plaza para minusválidos residentes: 8   Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad : Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=453881eb5f51c010VgnVCM2000000c205a0aRCRD";"OLAVIDE";"PLAZA";"V";"17";"";"";"";"";"MADRID";"MADRID";"28010";"TRAFALGAR";"CHAMBERI";"440639";"4476237";"40.43277769820206";"-3.7011542013121264";"914 468 570";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13454;"Aparcamiento público. Plaza de Colón";"";"";"";"";"Plazas : 605  Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad : Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5777339ae51c010VgnVCM2000000c205a0aRCRD";"GOYA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28001";"RECOLETOS";"SALAMANCA";"441682";"4475386";"40.42518540300912";"-3.6887800207651495";"915 761 837";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13463;"Aparcamiento público. Plaza de España";"";"";"";"";"Plazas : 800 (hasta 535 abonados)  Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad : Ayuntamiento de Madrid   Gestión : Empresa Municipal de Transportes (EMT) ( más información )";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fb977339ae51c010VgnVCM2000000c205a0aRCRD";"ESPA&Ntilde;A";"PLAZA";"V";"20";"";"";"";"";"MADRID";"MADRID";"28008";"ARGUELLES";"MONCLOA-ARAVACA";"439740";"4475239";"40.42372251184839";"-3.7116577340508523";"";"";"";"/contenido/entidadesYorganismos/AparcamientosResidentes"; 
13472;"Aparcamiento público. Plaza del Carmen";"";"";"";"";"Plazas:  450   Información sobre accesibilidad:    No tiene escaleras adaptadas  1 ascensor  1 aseo accesible en   1&ordf;   planta  Plaza para minusválidos residentes: 7    Abierto 24 horas    Admite Tarjeta BonoRed    Titularidad:  Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8ec881eb5f51c010VgnVCM2000000c205a0aRCRD";"CARMEN";"PLAZA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28013";"SOL";"CENTRO";"440464";"4474652";"40.41848676016168";"-3.703068586180966";"915 214 312";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13474;"Aparcamiento público. Plaza del Rey";"";"";"";"";"Plazas : 160   Información sobre accesibilidad:    Si tiene escaleras adaptadas  1 ascensor  3 aseos accesibles (uno por planta): 8  Plaza para minusválidos residentes: 16   Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad : Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d4f881eb5f51c010VgnVCM2000000c205a0aRCRD";"REY";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"441076";"4474836";"40.42018796139455";"-3.69587231093941";"915 225 219";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13466;"Aparcamiento público. Plaza Mayor";"";"";"";"";"Plazas : 694  Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad : Ayuntamiento de Madrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b1981eb5f51c010VgnVCM2000000c205a0aRCRD";"FELIPE III";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28012";"SOL";"CENTRO";"440137";"4474364";"40.41586882022003";"-3.706895619414367";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13456;"Aparcamiento público. Santa Ana";"";"";"";"";"Plazas:  325   Información sobre accesibilidad:    No tiene escaleras adaptadas  1 ascensor  1 aseo accesible en  1&ordf;  planta  Plaza para minusválidos residentes: 6    Abierto 24 horas    Admite Tarjeta BonoRed    Titularidad:  Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9b5881eb5f51c010VgnVCM2000000c205a0aRCRD";"SANTA ANA";"PLAZA";"V";"16";"";"";"";"";"MADRID";"MADRID";"28012";"CORTES";"CENTRO";"440645";"4474250";"40.41487830605113";"-3.700897645451053";"915 214 312";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13468;"Aparcamiento público. Velázquez - Juan Bravo";"";"";"";"";"Plazas:  371  Abierto 24 horas  Admite Tarjeta BonoRed   Titularidad:  Ayuntamiento de Madrid";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e3077339ae51c010VgnVCM2000000c205a0aRCRD";"VELAZQUEZ";"CALLE";"V";"88";"";"";"";"";"MADRID";"MADRID";"28006";"CASTELLANA";"SALAMANCA";"442140";"4476138";"40.431991827319116";"-3.683449815935094";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 
13453;"Aparcamiento público. Villa de París";"";"";"";"";"Plazas rotación:  169   Plazas motos:  2    Información sobre accesibilidad:    No tiene escaleras adaptadas  No disponde de ascensor  1 aseo accesible  Plaza para minusválidos residentes: 13    Abierto 24 horas    Admite Tarjeta BonoRed    Titularidad:  Ayuntamiento de Madrid   Gestión:  Empresa Municipal de Transportes (EMT) ( más información )";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=38a881eb5f51c010VgnVCM2000000c205a0aRCRD";"MARQUES DE LA ENSENADA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"441373";"4475380";"40.42533530030625";"-3.6923416648619947";"";"";"";"/contenido/entidadesYorganismos/AparcamientosPublicos"; 







