LISTADO ACIDENTES DONDE INTERVIENEN BICICLETAS MENSUAL;;;;ENERO  - SEPTIEMBRE 2017;;;
Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
01/01/2017 0:00;DE 6:00 A 6:59;1;ARGANZUELA                    ;CALLE DE TOLEDO                                                                                   ;120;CHOQUE CON OBJETO FIJO                  ;BICICLETA                               
02/01/2017 0:00;DE 21:00 A 21:59;1;SAN BLAS                      ;CALLE DE MEQUINENZA                                                                               ;14;CAÍDA BICICLETA                         ;BICICLETA                               
03/01/2017 0:00;DE 19:00 A 19:59;1;CENTRO                        ;CALLE DE LA ESCALINATA                                                                            ;8;CAÍDA BICICLETA                         ;BICICLETA                               
04/01/2017 0:00;DE 21:00 A 21:59;1;CENTRO                        ;CALLE DE LA CAVA DE SAN MIGUEL                                                                    ;13;CAÍDA BICICLETA                         ;BICICLETA                               
05/01/2017 0:00;DE 8:00 A 8:59;1;MONCLOA-ARAVACA               ;PUENTE DE LOS FRANCESES                                                                             ;;CAÍDA BICICLETA                         ;BICICLETA                               
05/01/2017 0:00;DE 12:00 A 12:59;1;LATINA                        ;CARRETERA DE BOADILLA DEL MONTE                                                                   ;27;CAÍDA BICICLETA                         ;BICICLETA                               
05/01/2017 0:00;DE 14:00 A 14:59;2;TETUAN                        ;CALLE DE LA INFANTA MERCEDES                                                                      ;27;ATROPELLO                               ;BICICLETA                               
05/01/2017 0:00;DE 17:00 A 17:59;1;FUENCARRAL-EL PARDO           ;CALLE DE ANTONIO DE CABEZON                                                                       ;91;CAÍDA BICICLETA                         ;BICICLETA                               
06/01/2017 0:00;DE 11:00 A 11:59;1;CENTRO                        ;CUESTA DE LA VEGA - PASEO DE LA CIUDAD DE PLASENCIA                                                 ;;COLISIÓN DOBLE                          ;BICICLETA                               
06/01/2017 0:00;DE 17:00 A 17:59;1;SAN BLAS                      ;CALLE DE AREVALO LARA - CALLE DE TAMPICO                                                            ;;COLISIÓN DOBLE                          ;BICICLETA                               
07/01/2017 0:00;DE 00:00 A 00:59;1;CENTRO                        ;CALLE DE SAN FELIPE NERI - PLAZA DE LOS HERRADORES                                                  ;;CAÍDA BICICLETA                         ;BICICLETA                               
07/01/2017 0:00;DE 11:00 A 11:59;1;BARAJAS                       ;CALLE DE LA RIBERA DEL SENA - GLORIETA DE LUXEMBURGO                                                ;          ;COLISIÓN DOBLE                          ;BICICLETA                               
07/01/2017 0:00;DE 14:00 A 14:59;1;FUENCARRAL-EL PARDO           ;CALLE DE FREUD - CALLE DE MARX                                                                      ;;CAÍDA BICICLETA                         ;BICICLETA                               
08/01/2017 0:00;DE 13:00 A 13:59;1;ARGANZUELA                    ;RONDA DE TOLEDO                                                                                   ;14;CAÍDA BICICLETA                         ;BICICLETA                               
08/01/2017 0:00;DE 20:00 A 20:59;1;CENTRO                        ;CALLE DE SEGOVIA                                                                                  ;16;CAÍDA BICICLETA                         ;BICICLETA                               
09/01/2017 0:00;DE 14:00 A 14:59;1;TETUAN                        ;CALLE DE BRAVO MURILLO                                                                            ;101;CAÍDA BICICLETA                         ;BICICLETA                               
09/01/2017 0:00;DE 19:00 A 19:59;1;MONCLOA-ARAVACA               ;CALLE DE LA GOLONDRINA - CALLE DE VALTRAVIESO                                                       ;;COLISIÓN DOBLE                          ;BICICLETA                               
09/01/2017 0:00;DE 23:00 A 23:59;1;TETUAN                        ;CALLE DE LA INFANTA MERCEDES - CALLE DE SOR ANGELA DE LA CRUZ                                       ;;COLISIÓN DOBLE                          ;BICICLETA                               
